timestamp,price_rm
2026-02-02 16:52:23,640
2026-02-04 09:11:57,688
2026-02-05 09:12:18,689
2026-02-06 09:12:08,659
2026-02-07 09:11:18,683
2026-02-09 09:18:10,689
2026-02-10 09:27:10,690
2026-02-11 09:25:03,689
2026-02-12 09:18:03,692
2026-02-13 09:20:41,679
2026-02-15 09:20:49,689
2026-02-16 09:17:11,684
2026-02-17 09:16:16,679
2026-02-18 09:18:42,663
2026-02-19 09:17:46,682
2026-02-20 09:13:52,685
2026-02-21 09:11:26,693
2026-02-22 09:17:05,697
2026-02-24 09:14:54,713
2026-02-25 09:20:13,705
2026-02-26 09:13:40,706
2026-02-27 09:12:45,705
2026-02-28 09:07:20,718
2026-03-01 09:22:33,718
